n,rmse,mae,crps,spearman,cov50,cov80,cov90,rmse_base,model,method,season,week,shrunk,fit_time,n_train,n_dropped
271,6.795653503225385,4.953200202750207,3.4948193060083192,0.609701035808973,0.5387453874538746,0.8265682656826568,0.9298892988929889,6.963315907718706,r2d2,nuts,2019,8.0,true,341.4115569591522,11748,18
271,6.8119843610788005,4.960411489949387,3.4999484653379667,0.610510580786204,0.5387453874538746,0.8376383763837638,0.933579335793358,6.963315907718706,team,nuts,2019,8.0,true,448.13986706733704,11748,18
253,6.4495630292799895,4.868004011749759,3.43276718151095,0.6310005306038187,0.5454545454545454,0.8142292490118577,0.9209486166007905,7.257664943492787,r2d2,nuts,2019,9.0,false,361.156023979187,12037,13
253,6.419831695644455,4.851401747725485,3.439257343027448,0.6337998470145866,0.5335968379446641,0.8142292490118577,0.924901185770751,7.257664943492787,r2d2,nuts,2019,9.0,true,481.706844329834,12037,13
253,6.416440322336141,4.833125805003456,3.4244658347689554,0.6368411482832087,0.541501976284585,0.8221343873517787,0.924901185770751,7.257664943492787,team,nuts,2019,9.0,true,468.5562810897827,12037,13
229,6.687719888854839,5.043426310346715,3.5805866698372983,0.6345815376103179,0.4978165938864629,0.8165938864628821,0.9170305676855895,6.715231414141503,r2d2,nuts,2019,10.0,false,354.08380913734436,12303,15
229,6.680843177740696,5.03394496455816,3.5842333826773185,0.6341857228380526,0.49344978165938863,0.8122270742358079,0.9213973799126638,6.715231414141503,r2d2,nuts,2019,10.0,true,343.06320786476135,12303,15
229,6.685296414735398,5.039459336492189,3.571168864361744,0.6343696367726406,0.5021834061135371,0.8165938864628821,0.9126637554585153,6.715231414141503,team,nuts,2019,10.0,true,337.8175392150879,12303,15
263,6.215211877154403,4.681310548479355,3.3660877505085893,0.580658608806216,0.5437262357414449,0.8326996197718631,0.935361216730038,6.454611305573432,r2d2,nuts,2019,11.0,false,445.8460268974304,12547,9
263,6.1962304475078325,4.675838235232836,3.3359389388977894,0.5867848646459862,0.5475285171102662,0.8212927756653993,0.9391634980988594,6.454611305573432,r2d2,nuts,2019,11.0,true,520.3518509864807,12547,9
263,6.20170681028474,4.673763735040715,3.349886312266664,0.5840257238434533,0.5475285171102662,0.8326996197718631,0.9391634980988594,6.454611305573432,team,nuts,2019,11.0,true,379.1673140525818,12547,9
266,6.515838562833383,4.842084314015354,3.410030107396829,0.6281792513212098,0.5075187969924813,0.8120300751879699,0.924812030075188,6.80759879509393,r2d2,nuts,2019,12.0,false,345.8898422718048,12819,6
266,6.51491171367909,4.842701561181559,3.3971378668220273,0.6267533655239466,0.5075187969924813,0.8195488721804511,0.924812030075188,6.80759879509393,r2d2,nuts,2019,12.0,true,488.9334752559662,12819,6
