player_id,season,week,rush_attempt,rec_attempt,pass_attempt,rec_air_yards,lag_yards_per_rush_attempt,lag_yards_per_target,lag_yards_per_pass_attempt,lag_yards_per_rush_attempt_shrunk,lag_yards_per_target_shrunk,lag_yards_per_pass_attempt_shrunk,lag_avg_depth_of_target_shrunk,lag_rec_air_yards
00-0040138,2025,18.0,0.0,1.0,0.0,7.0,2.0,13.5,0.0,4.1518150645859695,7.799013247320217,7.0964572513420325,12.07750730922291,65.0
00-0040138,2025,19.0,0.0,1.0,0.0,33.0,0.0,13.0,0.0,4.258976728496787,7.711436330613554,7.0964572513420325,7.890784195086726,7.0
00-0040138,2025,20.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,12.89158403996662,33.0
00-0040138,2026,1.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,4.258976728496787,7.646759713698131,7.0964572513420325,9.044814928520548,13.0
00-0040142,2025,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040142,2025,2.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,3.962062487573585,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040142,2025,4.0,6.0,1.0,0.0,-3.0,1.0,0.0,0.0,4.104376920332873,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040142,2025,6.0,6.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,4.122709507900837,7.646759713698131,7.0964572513420325,5.9673996393636894,-3.0
00-0040142,2025,9.0,1.0,1.0,0.0,-5.0,2.5,0.0,0.0,3.8543054501723635,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040142,2025,10.0,2.0,0.0,0.0,0.0,4.0,9.0,0.0,4.246691353092161,7.691535833101116,7.0964572513420325,5.582722728219083,-5.0
00-0040142,2025,11.0,5.0,0.0,0.0,0.0,1.5,0.0,0.0,4.009070351198119,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040142,2025,13.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,4.007985384533092,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040142,2025,14.0,2.0,0.0,0.0,0.0,1.5,0.0,0.0,4.009070351198119,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040142,2025,15.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.054360036811891,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040154,2025,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040154,2025,14.0,0.0,1.0,0.0,-2.0,0.0,9.0,0.0,4.258976728496787,7.691535833101116,7.0964572513420325,7.890784195086726,7.0
00-0040154,2025,16.0,0.0,1.0,0.0,6.0,0.0,10.0,0.0,4.258976728496787,7.696510957479226,7.0964572513420325,6.159738094935993,-2.0
00-0040162,2025,1.0,12.0,8.0,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040162,2025,2.0,4.0,3.0,0.0,7.0,2.4166666666666665,8.0,0.0,3.5698350885993984,7.697109146410213,7.0964572513420325,0.739846749141948,-25.0
